name, movie, percent of dialogue, percent of fanworks, age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works, AO3 fandom, title distance
perfect tommy,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0756686236138,0.386666666667,28,m,1984,640,tt0086856,6132,None,29,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.0142589118199
president widma,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0494129158513,0.0,49,m,1984,640,tt0086856,6132,None,0,,1
professor hikit,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0490867579909,0.0,53,m,1984,640,tt0086856,6132,None,0,,1
rawhide,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0803979125897,0.000326583932071,25,m,1984,640,tt0086856,6132,None,1,The Magnificent Seven (TV),0.00533661740558
reno nevada,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0587084148728,1.0,40,m,1984,640,tt0086856,6132,None,1,Fallocaust Series - Quil Carter,0.00503680743898
secretary of de,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.112035225049,0.0,48,m,1984,640,tt0086856,6132,None,0,,1
alex, the pimp,Above the Law,0.0198878123406,0.0,None,m,1988,642,tt0094602,7844,40,0,,1
delores 'jacks',Above the Law,0.0874553799082,0.0,39,f,1988,642,tt0094602,7844,40,0,,1
detective lukic,Above the Law,0.025369709332,0.0,None,m,1988,642,tt0094602,7844,40,0,,1
kurt zagon,Above the Law,0.11652218256,0.0,60,m,1988,642,tt0094602,7844,40,0,,1
lieutenant stro,Above the Law,0.0215451300357,0.0,None,m,1988,642,tt0094602,7844,40,0,,1
machete man,Above the Law,0.0144059153493,0.0,None,m,1988,642,tt0094602,7844,40,0,,1
nelson fox,Above the Law,0.0850331463539,0.0,46,m,1988,642,tt0094602,7844,40,0,,1
nico toscani,Above the Law,0.488908720041,0.0,36,m,1988,642,tt0094602,7844,40,0,,1
rosa toscani,Above the Law,0.0214176440592,0.0,66,f,1988,642,tt0094602,7844,40,0,,1
sara toscani,Above the Law,0.0252422233554,0.0,30,f,1988,642,tt0094602,7844,40,0,,1
tony salvano,Above the Law,0.0258796532381,0.0,39,m,1988,642,tt0094602,7844,40,0,,1
uncle branca,Above the Law,0.034548699643,0.0,None,m,1988,642,tt0094602,7844,40,0,,1
watanabe,Above the Law,0.0337837837838,0.5,None,f,1988,642,tt0094602,7844,40,1,Rice (Band),0.0192307692308
agent gibbs,Air Force One,0.0484524388268,0.600327265289,42,m,1997,647,tt0118571,6171,327,5870,NCIS,0.0
alice marshall,Air Force One,0.0601199157349,0.0,13,f,1997,647,tt0118571,6171,327,0,,1
boris bazylev,Air Force One,0.0186355533949,0.0,42,m,1997,647,tt0118571,6171,327,0,,1
chief of staff ,Air Force One,0.0516934046346,0.0,48,m,1997,647,tt0118571,6171,327,0,,1
defense secreta,Air Force One,0.034030140982,0.0,61,m,1997,647,tt0118571,6171,327,0,,1
f-15 leader col,Air Force One,0.0474801490844,0.0,38,m,1997,647,tt0118571,6171,327,0,,1
general northwo,Air Force One,0.0327337546589,0.0,50,m,1997,647,tt0118571,6171,327,0,,1
grace marshall,Air Force One,0.0805380003241,0.0,41,f,1997,647,tt0118571,6171,327,0,,1
ivan korshunov,Air Force One,0.17420191217,0.0,39,m,1997,647,tt0118571,6171,327,0,,1
major caldwell,Air Force One,0.0516934046346,0.0,47,m,1997,647,tt0118571,6171,327,0,,1
nsa advisor jac,Air Force One,0.0183114568141,0.0,49,m,1997,647,tt0118571,6171,327,0,,1
president james,Air Force One,0.241614000972,0.0,55,m,1997,647,tt0118571,6171,327,0,,1
press secretary,Air Force One,0.0380813482418,0.0,42,f,1997,647,tt0118571,6171,327,0,,1
reporter #1,Air Force One,0.019931939718,0.0,42,m,1997,647,tt0118571,6171,327,0,,1
vice president ,Air Force One,0.0630367849619,0.0,50,f,1997,647,tt0118571,6171,327,0,,1
white house aid,Air Force One,0.0194457948469,0.0,34,m,1997,647,tt0118571,6171,327,0,,1
air controller ,Airplane!,0.0295404814004,0.0,63,m,1980,648,tt0080339,5484,269,0,,1
bernice,Airplane!,0.0226112326769,0.031914893617,None,f,1980,648,tt0080339,5484,269,9,Doctor Who: Eighth Doctor Adventures - Various Authors,0.00235155790711
captain oveur,Airplane!,0.0590809628009,0.0,54,m,1980,648,tt0080339,5484,269,0,,1
dr. rumack,Airplane!,0.1469730124,0.0,54,m,1980,648,tt0080339,5484,269,0,,1
elaine,Airplane!,0.16484318016,0.0,25,f,1980,648,tt0080339,5484,269,29,七つの大罪 | Nanatsu no Taizai | The Seven Deadly Sins,0.00199401794616
kramer,Airplane!,0.217177242888,0.666666666667,61,m,1980,648,tt0080339,5484,269,2,Breath of Fire: Dragon Quarter,0.00854700854701
milton,Airplane!,0.0395696571845,0.00115769869633,None,m,1980,648,tt0080339,5484,269,23,Agents of S.H.I.E.L.D. (TV),0.00411522633745
murdock,Airplane!,0.0488694383662,0.00287574432602,33,m,1980,648,tt0080339,5484,269,269,The Avengers (Marvel) - All Media Types,0.00534188034188
randy,Airplane!,0.0860685630926,0.892561983471,24,f,1980,648,tt0080339,5484,269,108,Randy Cunningham: 9th Grade Ninja,0.00577200577201
ted striker,Airplane!,0.18526622903,0.0,33,m,1980,648,tt0080339,5484,269,0,,1
captain oveur,Airplane II: The Sequel,0.0592262923656,0.0,56,m,1982,650,tt0083530,5842,None,0,,1
dr. rumack,Airplane II: The Sequel,0.0227661759671,0.0,56,m,1982,650,tt0083530,5842,None,0,,1
elaine,Airplane II: The Sequel,0.159192057515,0.0,27,f,1982,650,tt0083530,5842,None,29,七つの大罪 | Nanatsu no Taizai | The Seven Deadly Sins,0.00496072757338
hallick,Airplane II: The Sequel,0.0290996234166,0.0,None,m,1982,650,tt0083530,5842,None,0,,1
jacobs,Airplane II: The Sequel,0.0237932214995,0.0,35,m,1982,650,tt0083530,5842,None,0,,1
jimmy wilson,Airplane II: The Sequel,0.0217391304348,0.0,11,m,1982,650,tt0083530,5842,None,0,,1
kramer,Airplane II: The Sequel,0.0653885655597,0.296296296296,None,m,1982,650,tt0083530,5842,None,56,Saw (Movies),0.00745341614907
kruger,Airplane II: The Sequel,0.0472440944882,0.421052631579,51,m,1982,650,tt0083530,5842,None,8,Elysium (2013),0.00470035252644
mary,Airplane II: The Sequel,0.0494693598083,0.21279937181,None,f,1982,650,tt0083530,5842,None,542,Downton Abbey,0.00724637681159
simon,Airplane II: The Sequel,0.0671003081137,0.0498268854433,45,m,1982,650,tt0083530,5842,None,331,The Shadowhunter Chronicles - Cassandra Clare,0.00522875816993
stella,Airplane II: The Sequel,0.0621362547073,0.777777777778,None,f,1982,650,tt0083530,5842,None,14,Rush (TV 2008),0.00705052878966
ted,Airplane II: The Sequel,0.281752824375,0.000934800762797,None,m,1982,650,tt0083530,5842,None,75,DCU,0.0
testa,Airplane II: The Sequel,0.0208832591578,0.0,25,f,1982,650,tt0083530,5842,None,0,,1
the commissione,Airplane II: The Sequel,0.0347483738446,0.0,67,m,1982,650,tt0083530,5842,None,0,,1
the sarge,Airplane II: The Sequel,0.0352618966107,0.0,61,m,1982,650,tt0083530,5842,None,0,,1
voice of rok, t,Airplane II: The Sequel,0.0201985621363,0.0,36,m,1982,650,tt0083530,5842,None,0,,1
capt. warner,Alien Nation,0.0222863556197,0.0,46,m,1988,652,tt0094631,6237,53,0,,1
cassandra,Alien Nation,0.0352733686067,0.00530966833269,31,f,1988,652,tt0094631,6237,53,426,DCU,0.0
computer operat,Alien Nation,0.020683020683,0.0,None,f,1988,652,tt0094631,6237,53,0,,1
det. bill tuggl,Alien Nation,0.0238896905564,0.0,39,m,1988,652,tt0094631,6237,53,0,,1
det. samuel 'ge,Alien Nation,0.248677248677,0.0,36,m,1988,652,tt0094631,6237,53,0,,1
det. sgt. matth,Alien Nation,0.431617764951,0.0,48,m,1988,652,tt0094631,6237,53,0,,1
fedorchuk,Alien Nation,0.0280583613917,0.0,44,m,1988,652,tt0094631,6237,53,0,,1
mayor,Alien Nation,0.023088023088,0.0,None,m,1988,652,tt0094631,6237,53,13,どうぶつの森 | Animal Crossing Series,0.00507399577167
o'neal,Alien Nation,0.0237293570627,0.0,None,m,1988,652,tt0094631,6237,53,0,,1
quint,Alien Nation,0.0208433541767,0.00331125827815,None,m,1988,652,tt0094631,6237,53,2,Rockman | Mega Man - All Media Types,0.00462962962963
william harcour,Alien Nation,0.0828924162257,0.0,50,m,1988,652,tt0094631,6237,53,0,,1
winter,Alien Nation,0.038961038961,0.000983553692357,41,m,1988,652,tt0094631,6237,53,122,Harry Potter - J. K. Rowling,0.00714285714286
'smokin' joe fr,Ali,0.0166648150206,0.0,33,m,2001,653,tt0248667,9001,89,0,,1
angelo dundee,Ali,0.0353294078436,0.0,55,m,2001,653,tt0248667,9001,89,0,,1
belinda ali,Ali,0.0628819020109,0.0,27,f,2001,653,tt0248667,9001,89,0,,1
bradley,Ali,0.0142206421509,0.459016393443,51,m,2001,653,tt0248667,9001,89,112,Tron (1982),0.0
chauncey eskrid,Ali,0.0274413954005,0.0,54,m,2001,653,tt0248667,9001,89,0,,1
don king,Ali,0.0442173091879,0.0,44,m,2001,653,tt0248667,9001,89,0,,1
drew 'bundini' ,Ali,0.078657926897,0.0,34,m,2001,653,tt0248667,9001,89,0,,1
elijah muhammad,Ali,0.0228863459616,0.0,64,m,2001,653,tt0248667,9001,89,0,,1
george foreman,Ali,0.0179980002222,0.0,None,m,2001,653,tt0248667,9001,89,0,,1
howard bingham,Ali,0.0208865681591,0.0,36,m,2001,653,tt0248667,9001,89,0,,1
howard cosell,Ali,0.0638817909121,0.0,63,m,2001,653,tt0248667,9001,89,0,,1
jabir herbert m,Ali,0.0257749138985,0.0,47,m,2001,653,tt0248667,9001,89,0,,1
joe smiley,Ali,0.0142206421509,0.0,44,m,2001,653,tt0248667,9001,89,0,,1
malcolm x,Ali,0.073547383624,0.0,44,m,2001,653,tt0248667,9001,89,0,,1
muhammad ali,Ali,0.449061215421,0.0,33,m,2001,653,tt0248667,9001,89,0,,1
sonji roi,Ali,0.0323297411399,0.0,30,f,2001,653,tt0248667,9001,89,0,,1
antonio salieri,Amadeus,0.156168619792,2.38971466807e-05,45,m,1984,664,tt0086879,12288,None,1,Doctor Who,0.0
archbishop coll,Amadeus,0.01220703125,0.0,52,m,1984,664,tt0086879,12288,None,0,,1
baron van swiet,Amadeus,0.02001953125,0.0,61,m,1984,664,tt0086879,12288,None,0,,1
constanze mozar,Amadeus,0.114420572917,0.0,22,f,1984,664,tt0086879,12288,None,0,,1
count orsini-ro,Amadeus,0.024658203125,0.0,54,m,1984,664,tt0086879,12288,None,0,,1
count von strac,Amadeus,0.0126139322917,0.0,52,m,1984,664,tt0086879,12288,None,0,,1
emanuel schikan,Amadeus,0.05712890625,0.0,35,m,1984,664,tt0086879,12288,None,0,,1
emperor joseph ,Amadeus,0.0769856770833,0.0,38,m,1984,664,tt0086879,12288,None,0,,1
father vogler,Amadeus,0.025146484375,0.0,31,m,1984,664,tt0086879,12288,None,0,,1
frau schlumberg,Amadeus,0.00870768229167,0.0,None,f,1984,664,tt0086879,12288,None,0,,1
frau weber,Amadeus,0.0142415364583,0.0,None,f,1984,664,tt0086879,12288,None,0,,1
katerina cavali,Amadeus,0.0220540364583,0.0,31,f,1984,664,tt0086879,12288,None,0,,1
leopold mozart,Amadeus,0.0525716145833,0.0,61,m,1984,664,tt0086879,12288,None,2,Mozart l'Opéra Rock - Mozart/Baguian & Guirao,0.00164068908942
lorl,Amadeus,0.0249837239583,0.0,18,f,1984,664,tt0086879,12288,None,0,,1
michael schlumb,Amadeus,0.0333658854167,0.0,52,m,1984,664,tt0086879,12288,None,0,,1
papageno in 'th,Amadeus,0.0125325520833,0.0,None,m,1984,664,tt0086879,12288,None,0,,1
parody commenda,Amadeus,0.00870768229167,0.0,50,m,1984,664,tt0086879,12288,None,0,,1
salieri's valet,Amadeus,0.0121256510417,0.0,36,m,1984,664,tt0086879,12288,None,0,,1
wolfgang amadeu,Amadeus,0.311360677083,0.0,31,m,1984,664,tt0086879,12288,None,0,,1
2-star general,American Gangster,0.0159309658148,0.0,None,m,2007,665,tt0765429,9039,164,0,,1
ana,American Gangster,0.0243389755504,0.225806451613,None,f,2007,665,tt0765429,9039,164,14,Mother 1 | EarthBound Zero | EarthBound Beginnings,0.00537313432836
charlie william,American Gangster,0.0127226463104,0.0,60,m,2007,665,tt0765429,9039,164,0,,1
detective trupo,American Gangster,0.0417081535568,0.0,39,m,2007,665,tt0765429,9039,164,0,,1
frank lucas,American Gangster,0.274366633477,0.0,53,m,2007,665,tt0765429,9039,164,0,,1
freddie spearma,American Gangster,0.0154884389866,0.0,48,m,2007,665,tt0765429,9039,164,0,,1
huey lucas,American Gangster,0.058524173028,0.0,30,m,2007,665,tt0765429,9039,164,0,,1
jackie,American Gangster,0.0146033853302,0.00153405604418,None,f,2007,665,tt0765429,9039,164,15,NCIS,0.0
javier j. river,American Gangster,0.0433676291625,0.0,39,m,2007,665,tt0765429,9039,164,0,,1
jimmy zee,American Gangster,0.0127226463104,0.0,None,m,2007,665,tt0765429,9039,164,0,,1
laurie roberts,American Gangster,0.021020024339,0.0,36,f,2007,665,tt0765429,9039,164,0,,1
lou toback,American Gangster,0.035180882841,0.0,50,m,2007,665,tt0765429,9039,164,0,,1
mama lucas,American Gangster,0.0191392853192,0.0,85,f,2007,665,tt0765429,9039,164,0,,1
